SOURCE,TARGET,RATING,DATE,TIME
1,10,7,2011-06-16,18:34:17
1,101,1,2011-01-16,08:44:33
1,1010,2,2011-08-02,04:29:48
1,104,1,2011-03-31,21:35:49
1,1053,2,2012-04-02,02:24:04
1,109,1,2011-04-13,23:19:29
1,110,1,2011-02-13,21:01:33
1,111,2,2011-02-18,21:51:34
1,1134,1,2011-06-14,16:03:13
1,114,2,2011-02-18,21:44:53
1,115,1,2014-04-24,21:35:38
1,119,1,2011-01-31,23:15:02
1,120,3,2012-01-27,06:13:23
1,1201,8,2012-04-03,04:45:58
1,1217,1,2013-02-19,15:38:44
1,1245,1,2012-02-18,00:23:30
1,125,2,2012-12-03,07:14:26
1,1281,1,2012-02-19,21:14:22
1,13,3,2010-11-30,05:22:10
1,1316,5,2012-03-16,21:39:05
1,1317,5,2012-05-04,06:56:33
1,1318,2,2013-11-27,07:40:17
1,132,1,2011-03-29,04:37:13
1,134,3,2011-11-13,20:24:50
1,135,4,2014-09-29,07:26:28
1,1352,3,2012-01-25,00:10:49
1,1353,2,2011-11-17,00:02:48
1,1363,6,2012-04-05,06:12:50
1,1366,3,2012-04-04,05:55:33
1,1369,1,2011-07-26,06:17:32
1,138,1,2011-02-10,22:36:57
1,1383,-10,2014-09-29,06:52:31
1,1386,5,2011-11-10,04:52:30
1,139,2,2011-04-28,17:24:47
1,1396,4,2014-02-25,02:27:48
1,141,1,2011-04-15,17:31:03
1,143,5,2012-08-14,23:39:58
1,144,5,2011-05-05,01:33:37
1,1447,1,2011-09-03,07:35:15
1,145,1,2011-02-15,18:11:03
1,1487,2,2012-01-26,19:55:19
1,15,1,2010-11-08,20:05:40
1,1508,1,2013-05-03,04:49:54
1,1541,3,2011-11-06,00:41:17
1,1555,1,2012-01-12,20:25:49
1,1557,1,2011-11-07,19:54:44
1,1565,3,2013-08-16,14:30:59
1,1566,2,2013-08-18,23:35:12
1,1585,2,2012-07-24,07:17:54
1,159,2,2013-08-16,23:50:38
1,1615,9,2014-03-11,04:24:11
1,1620,4,2013-02-28,20:49:40
1,165,1,2011-02-23,19:55:10
1,1656,6,2012-05-05,17:05:01
1,1693,2,2012-02-14,02:05:44
1,17,9,2010-11-28,19:33:56
1,1701,5,2012-05-03,05:33:37
1,171,2,2012-07-27,04:55:24
1,1714,2,2012-03-12,05:19:04
1,1727,1,2012-01-18,06:11:07
1,1749,1,2012-01-27,22:41:53
1,1753,-10,2012-04-02,23:45:59
1,1771,-10,2012-06-11,21:52:18
1,178,7,2011-12-11,00:37:12
1,180,1,2011-04-21,05:26:26
1,1802,1,2012-03-02,06:00:16
1,1810,3,2013-08-06,17:15:28
1,1815,2,2012-12-12,00:25:37
1,1860,1,2012-03-23,00:59:28
1,1899,1,2012-05-08,05:53:59
1,19,6,2011-03-01,04:32:34
1,192,3,2014-09-01,00:48:55
1,1921,1,2012-05-01,22:34:34
1,1944,2,2012-04-05,06:03:14
1,1953,2,2013-08-16,23:51:07
1,197,8,2011-06-16,18:33:10
1,2,8,2011-02-02,07:49:03
1,20,2,2010-12-05,00:27:46
1,202,1,2013-08-18,23:33:36
1,2034,1,2012-08-30,20:00:35
1,2045,1,2013-08-16,23:51:57
1,2046,4,2012-05-08,18:21:55
1,2067,1,2014-04-18,07:09:44
1,2096,-10,2012-07-01,06:17:32
1,21,6,2011-05-23,05:22:27
1,2123,3,2012-06-03,20:40:36
1,2124,1,2012-06-04,04:59:36
1,2125,5,2013-08-13,18:32:16
1,2142,3,2012-06-28,18:43:58
1,215,1,2011-05-16,03:25:19
1,2175,1,2013-10-16,19:04:36
1,219,3,2011-05-05,04:40:47
1,223,7,2011-03-28,18:32:28
1,225,1,2011-03-29,01:23:21
1,2266,1,2013-08-18,23:31:53
1,227,1,2011-03-29,05:37:23
1,23,6,2011-02-02,15:41:11
1,2303,1,2013-08-18,23:32:46
1,2322,2,2012-07-18,20:49:22
1,234,1,2011-04-08,06:41:19
1,2341,1,2012-07-24,07:14:45
1,2388,1,2013-08-17,00:01:00
1,2410,-10,2012-08-24,05:53:04
1,245,1,2011-04-05,17:39:38
1,2455,1,2012-08-20,06:39:09
1,247,1,2011-04-06,00:49:37
1,2471,-10,2012-08-24,05:53:12
1,2484,1,2012-10-07,20:42:17
1,251,2,2011-04-08,21:49:33
1,260,1,2011-04-10,17:30:30
1,261,1,2011-04-10,18:38:19
1,2642,1,2013-08-16,23:51:14
1,266,1,2011-05-22,21:56:55
1,270,5,2011-06-17,15:19:57
1,271,1,2011-04-14,19:08:44
1,274,1,2011-04-15,07:59:49
1,2761,1,2012-10-12,23:25:34
1,29,4,2011-05-11,01:56:41
1,296,1,2011-04-18,23:17:41
1,3,6,2011-06-16,18:30:41
1,304,3,2012-02-29,06:59:51
1,308,3,2013-03-05,23:58:30
1,309,2,2011-08-05,17:23:33
1,31,2,2010-11-29,18:46:04
1,311,1,2011-04-22,17:29:19
1,312,1,2011-04-22,17:35:11
1,32,1,2010-11-25,07:35:53
1,320,3,2011-05-05,09:09:14
1,324,1,2011-04-29,01:48:13
1,33,7,2011-06-16,18:33:42
1,330,5,2013-02-25,08:03:06
1,3319,1,2014-02-24,20:40:22
1,34,1,2010-11-26,06:47:14
1,3417,2,2013-02-21,18:36:43
1,35,4,2014-09-29,06:52:07
1,350,1,2011-11-13,22:16:25
1,3527,2,2013-08-16,23:49:51
1,353,5,2011-06-02,23:49:55
1,356,1,2011-04-29,19:29:19
1,36,3,2012-01-17,23:44:04
1,3719,1,2013-03-21,20:22:44
1,384,1,2011-05-02,20:01:49
1,39,8,2011-06-16,18:33:27
1,3919,1,2014-06-06,03:30:36
1,396,4,2011-06-02,23:17:55
1,399,1,2011-05-02,22:37:26
1,4,10,2012-07-24,07:19:33
1,41,8,2011-06-16,18:33:21
1,416,1,2011-05-08,19:08:15
1,4172,1,2013-12-16,22:26:08
1,421,2,2011-05-10,23:24:10
1,4291,2,2014-02-23,06:36:16
1,431,1,2011-05-06,18:25:03
1,438,1,2011-05-04,07:48:24
1,442,1,2011-05-04,20:29:52
1,4458,1,2013-08-16,20:54:41
1,4559,1,2013-12-17,03:34:46
1,464,1,2011-05-06,07:20:51
1,47,3,2011-05-05,06:35:03
1,481,1,2013-11-25,18:53:31
1,4857,2,2014-02-23,01:14:46
1,486,1,2011-05-08,11:09:32
1,492,1,2012-08-16,02:08:29
1,4921,2,2014-04-08,09:51:58
1,494,1,2011-05-11,07:28:12
1,5,4,2010-11-14,05:57:23
1,505,1,2011-05-10,08:32:55
1,51,1,2011-05-02,19:05:27
1,511,1,2011-05-11,02:04:11
1,522,2,2011-07-21,00:13:10
1,534,5,2011-05-13,04:47:47
1,537,1,2011-05-13,08:14:10
1,539,1,2011-06-26,07:13:56
1,54,1,2010-12-13,00:26:32
1,540,1,2012-03-06,21:58:59
1,5418,2,2014-02-23,03:23:37
1,545,1,2011-06-06,04:23:24
1,56,2,2010-12-21,19:46:35
1,563,1,2011-05-15,07:47:26
1,567,1,2011-05-15,09:18:01
1,5689,2,2014-09-13,04:32:49
1,569,1,2011-05-15,10:24:11
1,57,6,2012-01-05,03:52:31
1,579,1,2011-05-17,04:52:35
1,592,3,2011-12-16,06:27:04
1,5925,2,2015-03-24,02:50:08
1,6,8,2011-06-16,18:33:50
1,60,8,2011-06-16,18:33:17
1,61,5,2011-05-22,18:57:15
1,62,-5,2014-09-29,06:53:41
1,630,2,2011-05-23,06:25:44
1,635,3,2012-08-22,17:40:03
1,64,3,2011-04-05,05:49:54
1,647,2,2011-06-01,16:51:32
1,672,-5,2011-05-27,18:17:29
1,677,1,2011-05-23,08:28:28
1,68,2,2011-01-03,20:41:28
1,695,1,2011-05-25,17:06:52
1,7,9,2011-02-21,06:47:36
1,703,1,2014-02-20,06:03:23
1,71,1,2010-12-27,21:20:38
1,729,2,2012-07-22,21:38:06
